Position	43ae985c-ff38-4640-8fe3-10fe00c6b322.rna_seq.genomic.gdc_realn.bam
chr1:113684033-113684146	
chr1:113550919-113551033	
chr1:113410541-113410658	
chr1:113406469-113406579	
chr1:113406228-113406348	
chr1:113129481-113129601	
chr1:113085231-113085346	
chr1:113077101-113077212	
chr1:112925331-112925441	
chr1:112607654-112607764	
chr1:112526689-112526804	
chr1:111770758-111770870	
chr1:111464834-111464944	
chr1:111461851-111461968	
chr1:111117509-111117620	
chr1:110023538-110023652	0
chr1:110022324-110022439	1
chr1:109313413-109313526	0
chr1:109312463-109312578	0
chr1:109062960-109063074	
chr1:108962866-108962980	
chr1:108931578-108931693	
chr1:108930840-108930954	
chr1:108922484-108922594	
chr1:108921366-108921481	
chr1:108560383-108560496	
chr1:108195952-108196067	
chr1:103533794-103533906	
chr1:100980615-100980726	
chr1:100979386-100979508	
chr1:100979238-100979349	
chr1:100976977-100977087	
chr1:100872512-100872622	
chr1:100291879-100291997	
chr1:100023965-100024077	
chr1:99736783-99736895	
chr1:97406226-97406339	
chr1:94897321-94897444	0
chr1:94530023-94530147	
chr1:94529619-94529729	0
chr1:94518446-94518564	0
chr1:94418371-94418494	
chr1:94173782-94173895	
chr1:93877080-93877190	
chr1:93573349-93573464	
chr1:93552496-93552606	0
chr1:93362388-93362501	
chr1:93360571-93360683	
chr1:93134784-93134901	
chr1:93123212-93123325	
chr1:92916252-92916368	
chr1:92735670-92735792	
chr1:92728337-92728447	
chr1:92509443-92509557	
chr1:92361092-92361208	
chr1:91682354-91682475	
chr1:89935796-89935907	0
chr1:89931208-89931329	0
chr1:89582180-89582299	
chr1:89106097-89106208	
chr1:88980374-88980488	
chr1:88818597-88818713	
chr1:88684417-88684530	
chr1:87345337-87345447	0
chr1:87329019-87329134	
chr1:87107592-87107706	
chr1:85653560-85653671	
chr1:85402111-85402231	0
chr1:85321015-85321134	0
chr1:85320468-85320580	0
chr1:84189407-84189521	
chr1:81801617-81801727	
chr1:78539104-78539215	
chr1:78017718-78017831	
chr1:77948575-77948693	0
chr1:77946262-77946374	
chr1:77944271-77944387	0
chr1:77942419-77942533	
chr1:77713297-77713407	0
chr1:70354358-70354468	
chr1:70261905-70262017	
chr1:70239435-70239548	0
chr1:68107247-68107359	
chr1:67702559-67702670	
chr1:67409336-67409470	
chr1:67409278-67409392	
chr1:67035755-67035871	
chr1:67000236-67000354	
chr1:66999638-66999751	
chr1:66985764-66985887	
chr1:65432516-65432631	
chr1:65228671-65228783	
chr1:65227334-65227444	
chr1:65226965-65227079	
chr1:65226766-65226877	
chr1:64833041-64833157	
chr1:64832928-64833043	
chr1:64692587-64692697	
chr1:64691010-64691120	
chr1:64178974-64179096	
chr1:62151098-62151212	
chr1:61461995-61462105	
chr1:61458637-61458754	
chr1:61458161-61458272	
chr1:61457784-61457896	0
chr1:61456769-61456879	0
chr1:61456745-61456855	
chr1:61456324-61456436	
chr1:61082622-61082747	
chr1:58661920-58662030	
chr1:58657188-58657301	
chr1:58480817-58480927	
chr1:56692589-56692699	
chr1:56496366-56496476	
chr1:55039829-55039952	
chr1:54741861-54741973	0
chr1:54406312-54406438	
chr1:54405986-54406110	
chr1:54404523-54404634	0
chr1:54226617-54226732	0
chr1:54226187-54226297	0
chr1:52825626-52825738	
chr1:52602966-52603076	0
chr1:52055157-52055268	
chr1:51840365-51840476	0
chr1:51815132-51815253	0
chr1:51356497-51356609	
chr1:51355663-51355776	
chr1:50959842-50959960	
chr1:50732843-50732954	
chr1:48728323-48728434	
chr1:48381637-48381748	
chr1:48297786-48297897	0
chr1:46676821-46676931	0
chr1:46609184-46609303	
chr1:46394893-46395008	
chr1:46354611-46354723	
chr1:46352401-46352511	
chr1:46041320-46041430	0
chr1:45998019-45998129	
chr1:45698667-45698786	
chr1:45627674-45627784	0
chr1:45420514-45420635	
chr1:45394629-45394758	
chr1:45394098-45394208	
chr1:45343887-45343998	
chr1:45032742-45032856	
chr1:45017531-45017642	
chr1:44947815-44947934	
chr1:43993393-43993505	0
chr1:43704732-43704855	0
chr1:43622396-43622507	0
chr1:43606224-43606341	0
chr1:43282216-43282329	
chr1:42831698-42831809	
chr1:42676710-42676820	0
chr1:42177746-42177858	
chr1:41167862-41167978	
chr1:41094838-41094954	
chr1:40771115-40771225	0
chr1:40072202-40072321	0
chr1:39841444-39841554	0
chr1:39576623-39576734	
chr1:39486020-39486132	0
chr1:39433114-39433226	
chr1:38864079-38864193	0
chr1:38839280-38839398	
chr1:38727995-38728107	
chr1:38017574-38017687	
chr1:37957462-37957576	
chr1:37815468-37815578	
chr1:37716536-37716646	
chr1:37689965-37690075	
chr1:37612472-37612584	
chr1:36442906-36443028	0
chr1:36304954-36305065	0
chr1:36304396-36304513	1
chr1:36156258-36156380	
chr1:35843609-35843719	
chr1:35812159-35812269	
chr1:35566579-35566730	0
chr1:35558008-35558120	
chr1:35557255-35557370	
chr1:35369950-35370063	
chr1:35184103-35184216	0
chr1:35183175-35183288	0
chr1:35178834-35178951	0
chr1:33328535-33328645	0
chr1:33299299-33299411	
chr1:33170271-33170385	
chr1:32936683-32936800	
chr1:32680462-32680573	0
chr1:32680307-32680426	0
chr1:32333862-32333975	0
chr1:32231441-32231553	0
chr1:32204223-32204335	
chr1:32197763-32197874	0
chr1:32195949-32196059	
chr1:32176046-32176156	0
chr1:32175732-32175854	
chr1:32173123-32173244	
chr1:32172445-32172564	
chr1:32043232-32043343	1
chr1:32042885-32042997	0
chr1:31919420-31919533	0
chr1:31908370-31908480	0
chr1:31908186-31908302	
chr1:31907515-31907627	1
chr1:31906705-31906837	0
chr1:31652494-31652611	
chr1:31587272-31587388	
chr1:31432992-31433107	0
chr1:31365654-31365772	
chr1:31331564-31331676	0
chr1:31259780-31259891	1
chr1:31259705-31259821	
chr1:30932798-30932909	0
chr1:30932589-30932716	
chr1:30869486-30869611	
chr1:29147783-29147900	
chr1:28603399-28603510	0
chr1:28516709-28516826	
chr1:28508864-28508975	0
chr1:28497636-28497755	
chr1:28459168-28459278	
chr1:28415210-28415324	
chr1:28281400-28281513	
chr1:28150307-28150418	
chr1:27935081-27935191	
chr1:27824014-27824124	
chr1:27760428-27760538	
chr1:27547902-27548015	
chr1:27534610-27534722	
chr1:26864314-26864424	0
chr1:26781409-26781521	0
chr1:26781109-26781227	0
chr1:26780731-26780842	0
chr1:26475196-26475311	0
chr1:26470265-26470382	
chr1:25960759-25960873	0
chr1:25817163-25817283	0
chr1:25579722-25579835	0
chr1:25578118-25578228	0
chr1:25500105-25500217	
chr1:25340400-25340518	0
chr1:24902267-24902377	
chr1:24745449-24745570	
chr1:24539185-24539296	
chr1:24538882-24538994	
chr1:24536763-24536875	0
chr1:24471958-24472076	
chr1:24166153-24166272	
chr1:23760254-23760367	
chr1:23392587-23392697	
chr1:23344232-23344342	
chr1:22647990-22648106	
chr1:22091743-22091863	0
chr1:21782948-21783059	
chr1:21720481-21720593	
chr1:21323769-21323885	
chr1:21176220-21176330	
chr1:20806953-20807066	
chr1:20806743-20806856	0
chr1:20806602-20806714	0
chr1:20744428-20744538	0
chr1:20743072-20743183	0
chr1:20651751-20651888	
chr1:20651538-20651648	
chr1:20503265-20503377	
chr1:20482806-20482942	
chr1:20193289-20193400	0
chr1:19682195-19682306	
chr1:19279877-19279988	
chr1:19259214-19259327	0
chr1:18905638-18905770	
chr1:17650682-17650805	
chr1:17439562-17439672	
chr1:17408739-17408853	0
chr1:17407661-17407771	0
chr1:17406755-17406866	0
chr1:17067203-17067318	
chr1:16607072-16607183	
chr1:16395555-16395665	0
chr1:15920799-15920914	
chr1:15785280-15785392	
chr1:15740228-15740345	
chr1:15738731-15738853	
chr1:15684460-15684574	
chr1:15665212-15665330	
chr1:15570963-15571078	0
chr1:15220341-15220452	
chr1:15173626-15173739	
chr1:13786221-13786331	
chr1:13772984-13773094	
chr1:13617108-13617223	
chr1:12617668-12617781	1
chr1:12584828-12584946	0
chr1:12510504-12510617	
chr1:12209083-12209196	
chr1:12207864-12207974	
chr1:12207309-12207440	
chr1:11992681-11992794	
chr1:11786552-11786671	
chr1:11785985-11786096	
chr1:11287878-11287991	
chr1:11024226-11024337	
chr1:10785055-10785170	
chr1:10637771-10637883	
chr1:10637113-10637226	
chr1:10504696-10504808	
chr1:10460781-10460894	
chr1:10442200-10442310	0
chr1:10377887-10378000	
chr1:10376784-10376917	
chr1:10299050-10299167	
chr1:10181027-10181140	
chr1:10180751-10180861	
chr1:10117572-10117684	
chr1:9823812-9823931	
chr1:9614341-9614451	
chr1:9369155-9369265	1
chr1:9270897-9271009	0
chr1:9269295-9269409	
chr1:9268996-9269108	
chr1:9268188-9268309	
chr1:9266778-9266892	
chr1:9104481-9104594	
chr1:9060501-9060612	
chr1:8597735-8597847	
chr1:8582365-8582478	
chr1:8562427-8562555	
chr1:8354575-8354686	0
chr1:8012211-8012322	0
chr1:6523121-6523233	
chr1:6469114-6469225	
chr1:3889650-3889771	
chr1:3825819-3825935	
chr1:3812971-3813088	
chr1:3780924-3781035	0
chr1:2309887-2309997	
chr1:2309518-2309628	0
chr1:2308554-2308664	0
chr1:1752858-1752986	0
chr1:1614975-1615094	
chr1:1273753-1273869	
chr1:1232582-1232695	
